NodeID,PositionX,PositionY,PositionZ,Size,Group
极客DIY,6.780854,6.727703,7.217626,13,11
教程,6.990493,6.949428,7.492151,18,11
Python,2.151743,3.583411,1.174982,2,10
知识,1.660022,3.279973,1.877466,100,10
教育,1.353419,3.319715,2.483199,3,10
校园学习,1.326008,3.743698,2.406164,11,10
教育,1.353419,3.319715,2.483199,3,10
普法,1.619287,3.000712,2.539638,3,10
社会,2.539031,6.443961,1.316449,38,14
再见2022,2.254824,6.638026,1.148588,10,14
搞笑,0.9365838,5.21099,1.427999,227,5
集锦,0.7708541,4.423271,1.498619,2,5
生活,7.086966,7.485795,0.8767818,232,9
少儿,6.466208,7.745939,1.248661,2,9
过年,2.89976,3.601823,2.850226,2,15
运动,2.220417,2.994999,2.969162,104,15
球鞋测评,2.789444,3.518085,2.477342,2,15
球鞋,2.622582,3.293014,2.316761,2,15
运动文化,2.487557,3.448632,2.718882,12,15
球鞋测评,2.789444,3.518085,2.477342,2,15
运动,2.220417,2.994999,2.969162,104,15
过年,2.89976,3.601823,2.850226,2,15
运动文化,2.487557,3.448632,2.718882,12,15
武术,2.129659,3.67851,2.692402,2,15
运动,2.220417,2.994999,2.969162,104,15
粤语,0.4621919,4.536919,1.863739,3,5
搞笑,0.9365838,5.21099,1.427999,227,5
reaction,1.704443,5.516404,1.443862,2,5
搞笑,0.9365838,5.21099,1.427999,227,5
搞笑配音,1.646488,5.143842,1.610283,3,5
名场面,1.019744,5.032621,1.781064,30,5
