NodeID,PositionX,PositionY,PositionZ,Size,Group
美妆,0.6337661,7.183822,7.031935,22,6
美妆教程,0.3111951,7.272103,7.541808,2,6
美女,0.8918118,7.06232,6.788676,16,6
身材,0.5106737,6.911716,6.258927,3,6
时尚,0.78873,6.999404,6.867311,99,6
仿妆cos,0.3081727,7.197996,6.599009,26,6
男生,0.297471,6.313121,7.199201,2,6
日向翔阳,0.2815734,7.561765,6.803202,2,6
夏天,0.5048642,6.705591,7.253792,8,6
仿妆cos,0.3081727,7.197996,6.599009,26,6
护肤,0.8422672,7.018175,7.262582,7,6
小姐姐,0.7724293,3.785872,2.555719,17,13
夏天,0.5048642,6.705591,7.253792,8,6
Baby,-0.09351416,7.401167,6.508284,3,6
穿搭,0.7710567,6.869289,6.801886,35,6
仿妆cos,0.3081727,7.197996,6.599009,26,6
走秀,1.169903,6.473078,6.735992,4,6
美妆,0.6337661,7.183822,7.031935,22,6
服饰,1.083797,6.790761,6.759488,18,6
购物分享,0.9683614,7.003431,7.343431,4,6
伦敦,1.528745,7.022567,6.573272,2,6
测评,3.951417,2.239705,6.313056,7,12
时尚,0.78873,6.999404,6.867311,99,6
美食测评,3.570337,2.74361,6.070813,17,12
脱发,1.321667,7.361007,7.575681,3,6
广州,3.853908,2.260521,5.551251,5,12
时尚,0.78873,6.999404,6.867311,99,6
探店,3.662798,2.259452,6.010533,16,12
发型,0.7551298,7.333858,6.813534,8,6
法国,4.041915,1.908643,6.111178,2,12
韩国,7.719535,3.813567,2.75024,8,3
试吃,3.787668,2.301189,6.164277,4,12
爱豆,7.786387,3.883241,2.581554,3,3
分享,1.042084,7.291074,7.288016,10,6
韩国,7.719535,3.813567,2.75024,8,3
脱发,1.321667,7.361007,7.575681,3,6
娱乐圈,8.01403,3.604934,2.322372,2,3
美妆护肤,0.8839321,7.285884,7.338517,24,6
娱乐,7.313167,3.99114,2.269135,137,3
护发,1.212942,7.237808,7.647831,2,6
安利向,7.235322,3.952004,2.749628,9,3
养发,1.152019,7.498049,7.592627,2,6
SEVENTEEN,7.09554,4.030877,2.850437,3,3
护发,1.212942,7.237808,7.647831,2,6
猛男,6.950773,4.299729,2.857219,2,3
时尚,0.78873,6.999404,6.867311,99,6
安利向,7.235322,3.952004,2.749628,9,3
鞋子,0.7720609,6.652492,6.933933,5,6
明星综合,7.286793,3.5456,2.498752,14,3
雪糕,0.8009602,6.384392,6.888846,2,6
韩娱,7.71157,3.383247,2.592994,2,3
服饰,1.083797,6.790761,6.759488,18,6
Kpop,7.632411,3.346782,2.374534,3,3
高跟鞋,0.8821241,6.75268,6.402977,5,6
娱乐,7.313167,3.99114,2.269135,137,3
穿搭,0.7710567,6.869289,6.801886,35,6
严浩翔,7.25406,4.642344,2.617302,2,3
裤子,1.19209,6.54381,7.309967,2,6
娱乐粉丝创作,7.37137,4.253842,2.455261,20,3
平价,1.249597,6.809516,7.27497,4,6
YG,7.826064,4.662361,2.588925,2,3
服饰,1.083797,6.790761,6.759488,18,6
