NodeID,PositionX,PositionY,PositionZ,Size,Group
美国,2.747586,6.084419,1.209479,28,14
恶搞,1.290336,5.184526,0.9053583,4,5
运动,2.220417,2.994999,2.969162,104,15
穿搭,0.7710567,6.869289,6.801886,35,6
搞笑配音,1.646488,5.143842,1.610283,3,5
搞笑视频,1.236666,4.964913,1.653784,11,5
沙雕,1.242355,5.295028,1.500563,37,5
搞笑研究所,1.186008,5.36839,1.454284,38,5
律师,1.670714,3.216464,2.649246,3,10
人文历史,1.967805,3.106246,2.316055,14,10
法律,1.733537,2.987786,2.506539,6,10
社科·法律·心理,1.59701,2.879504,2.273386,12,10
科普,1.426945,2.911905,1.777486,28,10
绘画,6.891941,8.12096,0.4963063,15,9
同人·手书,3.834201,2.497435,1.515606,15,2
粤语,0.4621919,4.536919,1.863739,3,5
综合,2.52104,6.365924,1.413512,44,14
中国,2.606718,6.125124,1.186594,32,14
新冠肺炎,2.739967,6.160303,0.6356136,4,14
热点,2.546607,6.027359,1.106718,32,14
吐槽,1.017181,5.558377,1.505546,22,5
社会,2.539031,6.443961,1.316449,38,14
动物总动员,5.430228,2.300665,3.687067,32,1
手工,7.168322,7.430295,1.57814,16,9
乡村,6.743774,7.09396,1.012546,9,9
生活记录,6.913461,7.498932,0.8834383,63,9
运动文化,2.487557,3.448632,2.718882,12,15
骑行,2.440068,4.206509,5.212809,7,7
摩托车,2.584992,4.376186,5.021046,12,7
