NodeID,PositionX,PositionY,PositionZ,Size,Group
时代少年团,7.416182,4.471956,2.345934,6,3
美食侦探,3.439987,2.245887,5.868577,28,12
热点观察局,2.177204,6.142296,1.122423,15,14
恐怖,-0.09856772,4.194894,4.255537,3,4
找工作,1.877953,4.283515,1.749322,3,10
知识,1.660022,3.279973,1.877466,100,10
运动,2.220417,2.994999,2.969162,104,15
生活,7.086966,7.485795,0.8767818,232,9
广州,3.853908,2.260521,5.551251,5,12
游戏,4.684269,6.775804,7.396548,111,8
机械,6.513257,6.296392,7.168264,8,11
数码,6.779968,7.288467,6.686352,41,11
赛车,3.997977,4.575666,4.968445,14,7
吉利,3.790669,3.935946,5.433756,2,7
零食,3.092089,3.090771,6.359302,2,12
演奏,2.842663,7.118498,7.374807,8,16
AI配音,2.707803,7.084892,8.317038,3,16
欧美音乐,3.204699,6.946772,7.823332,12,16
英文翻唱,3.371138,6.864746,8.163518,2,16
创意演奏,2.76693,7.115499,7.247136,2,16
穿搭,0.7710567,6.869289,6.801886,35,6
汽车文化,3.525108,4.300514,4.975168,9,7
吃货,3.643424,2.735321,5.943775,16,12
格斗游戏,4.664241,7.050488,7.137735,6,8
音乐,3.042404,7.079176,7.760653,112,16
时装周,1.35109,6.400905,6.527776,6,6
维修,2.756668,4.607535,4.925889,3,7
经典电影,0.7007861,4.521906,4.39103,12,4
经验分享,1.364715,3.774431,2.220477,12,10
快乐源泉,1.669631,5.152997,1.77199,3,5
