NodeID,PositionX,PositionY,PositionZ,Size,Group
搞笑,0.9365838,5.21099,1.427999,227,5
沙雕视频,1.390612,5.2222,2.038385,6,5
魔性,1.20642,5.100624,1.876489,12,5
幽默,0.9775664,5.38323,1.971738,5,5
广告,1.077657,5.547445,1.991169,2,5
吐槽,1.017181,5.558377,1.505546,22,5
网文,1.517011,5.66985,1.481851,2,5
小说,1.314683,5.648823,1.186342,5,5
高中,1.068246,5.33431,0.7634179,2,5
段子,0.9502687,5.120693,1.544199,16,5
搞笑时刻,0.5705521,4.919749,2.207654,2,5
F1,4.075964,4.724651,4.693624,9,7
迈凯伦,3.708305,4.778957,4.589288,2,7
改装玩车,3.338733,4.644831,4.789788,11,7
超跑,3.300539,4.539012,4.61429,4,7
豪车,3.289083,4.360449,4.60928,3,7
奔驰,3.259475,4.052171,4.776441,5,7
迈巴赫,3.286273,4.086664,4.567182,2,7
摩托车,2.584992,4.376186,5.021046,12,7
维修,2.756668,4.607535,4.925889,3,7
Faded,2.587096,4.77113,5.056303,4,7
青花瓷,0.2241737,4.590667,5.064674,3,4
中国风,0.3899911,4.39058,2.764802,13,13
街舞,0.6016803,4.402647,2.337082,16,13
舞蹈,0.4702844,3.959668,2.384538,105,13
大长腿,0.8767376,3.49724,2.241271,3,13
小姐姐,0.7724293,3.785872,2.555719,17,13
主播,0.8525405,3.907898,2.847278,8,13
我的舞蹈日记,0.7907351,4.181305,2.603239,2,13
芭蕾,0.7325818,4.41156,2.656955,3,13
法律,1.733537,2.987786,2.506539,6,10
