NodeID,PositionX,PositionY,PositionZ,Size,Group
时尚,0.78873,6.999404,6.867311,99,6
潮流,0.9429268,6.562827,7.083139,2,6
袜子,0.7548035,6.459881,6.705221,3,6
丝袜,0.5752432,6.363439,6.292339,2,6
发型,0.7551298,7.333858,6.813534,8,6
发型教程,1.180722,7.500601,6.742092,4,6
美妆护肤,0.8839321,7.285884,7.338517,24,6
脱发,1.321667,7.361007,7.575681,3,6
养发,1.152019,7.498049,7.592627,2,6
掉发,1.367615,7.442399,7.412292,3,6
护发,1.212942,7.237808,7.647831,2,6
美食,3.350418,2.602116,6.135998,112,12
美食记录,3.463825,2.837101,5.976493,24,12
炒饭,3.114752,2.57906,5.67974,2,12
家常菜,2.851398,2.818349,6.176282,10,12
美食制作,2.940606,2.932808,6.112152,29,12
满汉全席,2.544858,3.152323,6.116024,2,12
厨艺,3.06487,2.819626,5.85034,9,12
西班牙,3.569939,2.822616,5.551068,5,12
馋哭老外,3.877949,2.781431,5.423916,2,12
街头美食,3.624508,2.382387,5.959377,13,12
路边摊,3.484936,2.223423,5.550879,3,12
足球,2.330502,2.996922,3.663836,26,15
克罗斯,2.794546,3.201493,3.528696,4,15
欧洲杯,2.578924,2.914636,3.698429,7,15
运动,2.220417,2.994999,2.969162,104,15
篮球教学,1.902778,2.643844,2.717144,5,15
请回答这个时代3.0,1.570187,2.757253,2.442809,4,10
犯罪,1.758636,2.734293,2.534666,5,10
法律,1.733537,2.987786,2.506539,6,10
律师,1.670714,3.216464,2.649246,3,10
